,counties,index
967,"Suffolk County, MA",1973
968,NA,1144
969,NA,1363
970,NA,720
971,NA,1947
972,"Middlesex County, MA",81
973,"Essex County, MA",2004
974,"Norfolk County, MA",1420
975,"Essex County, MA",1762
976,NA,1432
977,"Suffolk County, MA",1294
978,"Essex County, MA",134
979,NA,359
980,"Middlesex County, MA",1672
981,"Essex County, MA",1094
982,"Kent County, MI",1568
983,"Monroe County, MI",2063
984,"Monroe County, MI",632
985,"Kent County, MI",419
986,"Monroe County, MI",689
987,"Oakland County, MI",730
988,"Livingston County, MI",239
989,"Monroe County, MI",712
990,"Saginaw County, MI",731
991,"Monroe County, MI",2
992,"Monroe County, MI",1253
993,"Saginaw County, MI",727
994,"Monroe County, MI",1260
995,"Monroe County, MI",718
996,NA,2017
997,"Wayne County, MI",1645
998,"Monroe County, MI",352
999,"Monroe County, MI",1229
1000,"Monroe County, MI",1221
1001,"Ingham County, MI",295
1002,"Wayne County, MI",2007
1003,"Muskegon County, MI",374
1004,NA,1539
1005,"Monroe County, MI",1217
1006,"Bay County, MI",336
1007,"Jackson County, MI",244
1008,"Midland County, MI",643
1009,"Washtenaw County, MI",1062
1010,"Kent County, MI",2044
1011,"Monroe County, MI",1551
1012,"Kent County, MI",1648
1013,"Monroe County, MI",1054
1014,"Monroe County, MI",1244
1015,"Monroe County, MI",656
1016,"Genesee County, MI",400
1017,"Monroe County, MI",1114
1018,"Ingham County, MI",1959
1019,"Monroe County, MI",1115
1020,"Saginaw County, MI",1512
1021,"Oakland County, MI",1508
1022,"Monroe County, MI",1113
1023,"Monroe County, MI",444
1024,"Oceana County, MI",170
1025,"Kalamazoo County, MI",1844
1026,"Monroe County, MI",540
1027,"Oakland County, MI",1877
1028,"Monroe County, MI",1316
1029,"Monroe County, MI",1465
1030,"Kent County, MI",1699
1031,"Monroe County, MI",833
1032,"Monroe County, MI",602
1033,"Monroe County, MI",1449
1034,"Monroe County, MI",971
1035,"Monroe County, MI",178
1036,"Calhoun County, MI",183
1037,"Genesee County, MI",280
1038,"Wayne County, MI",490
1039,"Wayne County, MI",1326
1040,"Monroe County, MI",493
1041,"Monroe County, MI",1350
1042,"Monroe County, MI",495
1043,"Monroe County, MI",1331
1044,"Monroe County, MI",1347
1045,"Osceola County, MI",952
1046,"Branch County, MI",948
1047,"Genesee County, MI",518
1048,"Monroe County, MI",1304
1049,"Monroe County, MI",1309
1050,"Tuscola County, MI",851
1051,"Monroe County, MI",871
1052,"Monroe County, MI",569
1053,NA,116
1054,"Monroe County, MI",1015
1055,"Monroe County, MI",1014
1056,"Kent County, MI",211
1057,"Livingston County, MI",42
1058,"Monroe County, MI",1284
1059,NA,575
1060,NA,451
1061,"Monroe County, MI",1455
1062,"Oakland County, MI",1765
1063,NA,852
1064,"Genesee County, MI",895
1065,"Ingham County, MI",1429
1066,"Monroe County, MI",1303
1067,"Monroe County, MI",1426
1068,"Wayne County, MI",268
1069,"Hennepin County, MN",1763
1070,"Carlton County, MN",1600
1071,"Ramsey County, MN",325
1072,"Hennepin County, MN",148
1073,"Hennepin County, MN",1653
1074,"Hennepin County, MN",881
1075,"Marshall County, MN",1096
1076,"Scott County, MN",1612
1077,"Rice County, MN",587
1078,"Ramsey County, MN",335
1079,"Hennepin County, MN",1534
1080,"Ramsey County, MN",264
1081,"Stearns County, MN",813
1082,"Hennepin County, MN",1931
1083,"Beltrami County, MN",753
1084,"Hennepin County, MN",1941
1085,"Hennepin County, MN",1688
1086,"Hennepin County, MN",1494
1087,"Ramsey County, MN",1694
1088,"Ramsey County, MN",414
1089,"Pearl River County, MS",1374
1090,"Humphreys County, MS",1158
1091,NA,139
1092,NA,1950
1093,"Hinds County, MS",1218
1094,"Neshoba County, MS",2008
1095,"Adams County, MS",1855
1096,"Newton County, MS",1821
1097,"Jackson County, MS",1982
1098,"Forrest County, MS",1654
1099,"Pike County, MS",1396
1100,"Hinds County, MS",46
1101,"Hinds County, MS",1222
1102,"Hinds County, MS",1349
1103,"Marshall County, MS",2066
1104,"Washington County, MS",1074
1105,"Warren County, MS",817
1106,"Lauderdale County, MS",826
1107,"Panola County, MS",479
1108,"Jasper County, MS",1068
1109,"Rankin County, MS",964
1110,"Hinds County, MS",977
1111,"Hinds County, MS",348
1112,"Lamar County, MS",921
1113,"Webster County, MS",248
1114,"Hinds County, MS",849
1115,"St. Louis City County, MO",1297
1116,"St. Louis City County, MO",994
1117,"Jackson County, MO",1887
1118,"Jackson County, MO",146
1119,"St. Louis County, MO",2015
1120,NA,301
1121,"St. Louis City County, MO",104
1122,"St. Louis City County, MO",105
1123,"St. Louis City County, MO",1469
1124,"St. Louis County, MO",410
1125,"Jackson County, MO",236
1126,"St. Louis City County, MO",1402
1127,"St. Louis City County, MO",1493
1128,"St. Louis County, MO",1418
1129,"Jasper County, MO",671
1130,"St. Louis County, MO",676
1131,"St. Louis City County, MO",1406
1132,"Buchanan County, MO",1256
1133,"Boone County, MO",1569
1134,"St. Louis City County, MO",1496
1135,"St. Louis City County, MO",1497
1136,"Dunklin County, MO",1271
1137,"St. Louis City County, MO",1436
1138,NA,1671
1139,"St. Louis City County, MO",1435
1140,"St. Louis City County, MO",1338
1141,"St. Louis City County, MO",157
1142,NA,245
1143,"Cooper County, MO",1052
1144,"St. Louis City County, MO",1463
1145,"St. Louis City County, MO",1453
1146,"Jackson County, MO",162
1147,"St. Louis City County, MO",1448
1148,"St. Louis City County, MO",49
1149,"St. Louis City County, MO",1466
1150,"Douglas County, MO",356
1151,"St. Louis County, MO",27
1152,NA,256
1153,"St. Louis City County, MO",333
1154,"Clay County, MO",836
1155,"St. Louis City County, MO",1445
1156,"St. Louis County, MO",1788
1157,"St. Louis County, MO",1714
1158,"Cass County, MO",1345
1159,"St. Louis City County, MO",981
1160,"Scott County, MO",437
1161,"St. Louis City County, MO",1091
1162,"Silver Bow County, MT",1044
1163,"Cascade County, MT",1633
1164,"Fergus County, MT",1262
1165,"Missoula County, MT",227
1166,"Cascade County, MT",1314
1167,"Deer Lodge County, MT",711
1168,"Cascade County, MT",840
1169,"Missoula County, MT",251
1170,"Cascade County, MT",705
1171,"Douglas County, NE",663
1172,"Douglas County, NE",1749
1173,"Lancaster County, NE",1605
1174,"Douglas County, NE",898
1175,"Hall County, NE",778
1176,"Douglas County, NE",16
1177,"Lancaster County, NE",38
1178,"Douglas County, NE",316
1179,"Washington County, NE",397
1180,"Douglas County, NE",532
1181,"Scotts Bluff County, NE",1016
1182,"Clark County, NV",1359
1183,"Clark County, NV",972
1184,"Clark County, NV",408
1185,"Clark County, NV",1354
1186,"Clark County, NV",1771
1187,"Clark County, NV",653
1188,"Washoe County, NV",1515
1189,"Clark County, NV",910
1190,"Clark County, NV",201
1191,"Washoe County, NV",332
1192,"Clark County, NV",1994
1193,"Clark County, NV",1929
1194,"Clark County, NV",1174
1195,"Washoe County, NV",1597
1196,"Washoe County, NV",698
1197,"Clark County, NV",992
1198,"Washoe County, NV",472
1199,"Clark County, NV",798
1200,"Merrimack County, NH",28
1201,"Hillsborough County, NH",179
1202,NA,1143
1203,NA,475
1204,"Cheshire County, NH",515
1205,"Merrimack County, NH",1280
1206,"Belknap County, NH",2040
1207,"Hillsborough County, NH",430
1208,"Hudson County, NJ",717
1209,"Passaic County, NJ",1598
1210,"Salem County, NJ",1471
1211,"Essex County, NJ",623
1212,"Camden County, NJ",1826
1213,"Atlantic County, NJ",68
1214,"Essex County, NJ",1822
1215,"Essex County, NJ",739
1216,"Passaic County, NJ",1706
1217,"Essex County, NJ",1816
1218,"Hudson County, NJ",953
1219,"Hudson County, NJ",837
1220,"Essex County, NJ",447
1221,"Monmouth County, NJ",740
1222,"Passaic County, NJ",1651
1223,"Middlesex County, NJ",801
1224,"Union County, NJ",117
1225,"Cumberland County, NJ",219
1226,"Passaic County, NJ",1037
1227,"Hudson County, NJ",56
1228,NA,1578
1229,"Eddy County, NM",1529
1230,"Santa Fe County, NM",1371
1231,"Bernalillo County, NM",1917
1232,"Bernalillo County, NM",25
1233,"Bernalillo County, NM",1952
1234,"Dona Ana County, NM",1863
1235,"San Juan County, NM",285
1236,"Otero County, NM",487
1237,"Lea County, NM",1884
1238,"Chaves County, NM",461
1239,"Eddy County, NM",1461
1240,"Bernalillo County, NM",1740
1241,"Luna County, NM",905
1242,"Sandoval County, NM",145
1243,"Bernalillo County, NM",1744
1244,"Bernalillo County, NM",902
1245,"Santa Fe County, NM",1903
1246,NA,1340
1247,"Rio Arriba County, NM",1965
1248,"Dona Ana County, NM",59
1249,"Bernalillo County, NM",1811
1250,NA,752
1251,"Cattaraugus County, NY",1473
1252,NA,1367
1253,"Nassau County, NY",101
1254,"Kings County, NY",74
1255,"Nassau County, NY",1472
1256,NA,1904
1257,NA,1392
1258,"Kings County, NY",1417
1259,NA,207
1260,NA,1890
1261,"Nassau County, NY",1351
1262,"Monroe County, NY",1897
1263,"Erie County, NY",1538
1264,NA,1958
1265,"Rensselaer County, NY",794
1266,"Kings County, NY",924
1267,"Erie County, NY",940
1268,NA,1365
1269,"Kings County, NY",1892
1270,"Westchester County, NY",1939
1271,"Erie County, NY",1535
1272,"Kings County, NY",848
1273,"Erie County, NY",1940
1274,"Delaware County, NY",928
1275,"Kings County, NY",699
1276,"Dutchess County, NY",741
1277,"Westchester County, NY",1257
1278,"Greene County, NY",165
1279,"Fulton County, NY",1677
1280,NA,1239
1281,"Fulton County, NY",246
1282,NA,1691
1283,"Oneida County, NY",296
1284,"Kings County, NY",1082
1285,"Oneida County, NY",616
1286,"Westchester County, NY",1223
1287,NA,1705
1288,"Suffolk County, NY",1100
1289,"Suffolk County, NY",1104
1290,"Orange County, NY",1105
1291,"Albany County, NY",1032
1292,"Westchester County, NY",1116
1293,"Monroe County, NY",1724
1294,"Kings County, NY",263
1295,"Suffolk County, NY",585
1296,NA,1130
1297,"Kings County, NY",1189
1298,NA,1180
1299,"Columbia County, NY",1752
1300,NA,35
1301,"Suffolk County, NY",1757
1302,"Ontario County, NY",560
1303,NA,1136
1304,"Suffolk County, NY",553
1305,NA,1799
1306,"Westchester County, NY",1145
1307,NA,2030
1308,"Rockland County, NY",670
1309,"Kings County, NY",1240
1310,"Westchester County, NY",1854
1311,"Kings County, NY",1337
1312,"Kings County, NY",729
1313,"Westchester County, NY",1872
1314,"Nassau County, NY",724
1315,"Dutchess County, NY",1868
1316,"Kings County, NY",968
1317,"Tompkins County, NY",1866
1318,"Westchester County, NY",975
1319,"Westchester County, NY",976
1320,"Kings County, NY",979
1321,"Monroe County, NY",1619
1322,"Kings County, NY",114
1323,"Westchester County, NY",1860
1324,"Kings County, NY",1001
1325,"Erie County, NY",1442
1326,"Mecklenburg County, NC",85
1327,"Durham County, NC",1840
1328,"Iredell County, NC",1655
1329,"Mecklenburg County, NC",806
1330,"Orange County, NC",508
1331,"Buncombe County, NC",900
1332,"Durham County, NC",156
1333,"Durham County, NC",1827
1334,"Mecklenburg County, NC",1831
1335,NA,99
1336,"Wake County, NC",628
1337,"Stanly County, NC",428
1338,"Wake County, NC",627
1339,"Wilson County, NC",1942
1340,"Mecklenburg County, NC",1896
1341,NA,1245
1342,"Orange County, NC",680
1343,"Henderson County, NC",1634
1344,"Cumberland County, NC",658
1345,"Orange County, NC",947
1346,"Mecklenburg County, NC",194
1347,"Macon County, NC",398
1348,"Forsyth County, NC",478
1349,"Duplin County, NC",1315
1350,"Mecklenburg County, NC",484
1351,"Mecklenburg County, NC",177
1352,NA,993
1353,"Gaston County, NC",14
1354,"Guilford County, NC",283
1355,NA,387
1356,"Orange County, NC",695
1357,"Iredell County, NC",1506
1358,"Alamance County, NC",1504
1359,"Durham County, NC",1277
1360,"Mecklenburg County, NC",1993
1361,"Brunswick County, NC",1630
1362,"Mecklenburg County, NC",1214
1363,"Cumberland County, NC",1270
1364,"Jones County, NC",664
1365,"Guilford County, NC",1029
1366,"Rowan County, NC",1891
1367,"Cumberland County, NC",1825
1368,"Mecklenburg County, NC",635
1369,"Mecklenburg County, NC",299
1370,"New Hanover County, NC",1754
1371,"Cumberland County, NC",520
1372,"Randolph County, NC",586
1373,"Pitt County, NC",446
1374,"Mecklenburg County, NC",1175
1375,"Wake County, NC",1905
1376,"Rowan County, NC",1911
1377,"Guilford County, NC",1450
1378,"Columbus County, NC",1135
1379,"Cumberland County, NC",556
1380,"Mecklenburg County, NC",1806
1381,"Forsyth County, NC",298
1382,"Cumberland County, NC",565
1383,"Pasquotank County, NC",1768
1384,"Robeson County, NC",1719
1385,"Forsyth County, NC",1718
1386,"Mecklenburg County, NC",1161
1387,"Mecklenburg County, NC",210
1388,"Forsyth County, NC",1782
1389,"Wake County, NC",570
1390,"Johnston County, NC",572
1391,"Cleveland County, NC",812
1392,"Rowan County, NC",453
1393,"Mecklenburg County, NC",522
1394,"Forsyth County, NC",1753
1395,NA,501
1396,"Hettinger County, ND",2012
1397,"Adams County, ND",1830
1398,"Lucas County, OH",1829
1399,"Franklin County, OH",1571
1400,"Hamilton County, OH",1665
1401,"Summit County, OH",810
1402,"Franklin County, OH",1737
1403,"Cuyahoga County, OH",747
1404,"Franklin County, OH",1664
1405,"Franklin County, OH",1457
1406,"Franklin County, OH",1878
1407,"Cuyahoga County, OH",1562
1408,"Lucas County, OH",1756
1409,"Lucas County, OH",77
1410,NA,230
1411,"Hamilton County, OH",655
1412,"Cuyahoga County, OH",1874
1413,"Franklin County, OH",1642
1414,"Butler County, OH",1797
1415,"Franklin County, OH",1793
1416,"Cuyahoga County, OH",1792
1417,"Richland County, OH",1548
1418,"Hamilton County, OH",488
1419,"Montgomery County, OH",1686
1420,"Montgomery County, OH",634
1421,"Cuyahoga County, OH",1817
1422,"Summit County, OH",1495
1423,"Mahoning County, OH",685
1424,"Franklin County, OH",1893
1425,"Cuyahoga County, OH",223
1426,"Cuyahoga County, OH",619
1427,"Franklin County, OH",1915
1428,"Montgomery County, OH",792
1429,"Hamilton County, OH",1489
1430,"Cuyahoga County, OH",1542
1431,"Franklin County, OH",1584
1432,"Summit County, OH",1582
1433,NA,1575
1434,"Clark County, OH",226
1435,NA,1500
1436,"Hamilton County, OH",708
1437,"Summit County, OH",1510
1438,"Geauga County, OH",513
1439,"Stark County, OH",259
1440,"Franklin County, OH",757
1441,"Summit County, OH",1523
1442,"Lake County, OH",605
1443,"Montgomery County, OH",1468
1444,"Medina County, OH",1381
1445,"Clark County, OH",1409
1446,"Franklin County, OH",1157
1447,"Hamilton County, OH",883
1448,NA,885
1449,"Stark County, OH",886
1450,"Lucas County, OH",98
1451,"Columbiana County, OH",893
1452,"Lake County, OH",1025
1453,"Lorain County, OH",1382
1454,"Franklin County, OH",2023
1455,"Cuyahoga County, OH",1375
1456,"Mahoning County, OH",2027
1457,"Hamilton County, OH",347
1458,"Brown County, OH",1283
1459,"Montgomery County, OH",1286
1460,"Lorain County, OH",1360
1461,"Lucas County, OH",297
1462,"Franklin County, OH",342
1463,"Franklin County, OH",1129
1464,"Cuyahoga County, OH",405
1465,"Franklin County, OH",2049
1466,"Mercer County, OH",1302
1467,"Hamilton County, OH",1181
1468,"Richland County, OH",1334
1469,"Cuyahoga County, OH",1310
1470,"Lawrence County, OH",1967
1471,"Logan County, OH",328
1472,"Richland County, OH",1969
1473,"Montgomery County, OH",966
1474,"Cuyahoga County, OH",12
1475,"Franklin County, OH",167
1476,"Franklin County, OH",306
1477,"Cuyahoga County, OH",860
1478,"Franklin County, OH",445
1479,"Franklin County, OH",355
1480,"Butler County, OH",369
1481,"Cuyahoga County, OH",10
1482,"Allen County, OH",287
1483,NA,452
1484,"Tulsa County, OK",320
1485,"Tulsa County, OK",1528
1486,"Cleveland County, OK",1603
1487,"Carter County, OK",1948
1488,"Pawnee County, OK",1673
1489,"Muskogee County, OK",904
1490,"Tulsa County, OK",315
1491,"Oklahoma County, OK",1462
1492,"Tulsa County, OK",353
1493,"Stephens County, OK",1843
1494,"Choctaw County, OK",892
1495,"Oklahoma County, OK",804
1496,"Tulsa County, OK",829
1497,"Oklahoma County, OK",963
1498,"Cleveland County, OK",580
1499,"Delaware County, OK",1643
1500,"Oklahoma County, OK",1132
1501,"Payne County, OK",502
1502,"Tulsa County, OK",1841
1503,"Multnomah County, OR",2003
1504,"Lane County, OR",1361
1505,"Marion County, OR",1669
1506,"Multnomah County, OR",1685
1507,"Multnomah County, OR",521
1508,"Multnomah County, OR",1913
1509,"Multnomah County, OR",187
1510,"Yamhill County, OR",389
1511,"Douglas County, OR",700
1512,"Multnomah County, OR",1734
1513,"Multnomah County, OR",1587
1514,"Lane County, OR",937
1515,"Multnomah County, OR",1850
1516,"Lane County, OR",159
1517,"Multnomah County, OR",229
1518,"Multnomah County, OR",123
1519,"Marion County, OR",2013
1520,"Multnomah County, OR",422
1521,"Multnomah County, OR",1252
1522,"Crook County, OR",648
1523,"Multnomah County, OR",636
1524,"Multnomah County, OR",438
1525,"Deschutes County, OR",454
1526,"Linn County, OR",1030
1527,"York County, PA",702
1528,"Northampton County, PA",660
1529,"Montgomery County, PA",1085
1530,NA,1237
1531,"Luzerne County, PA",1305
1532,"Crawford County, PA",1235
1533,"Erie County, PA",574
1534,"Washington County, PA",659
1535,"Erie County, PA",2001
1536,"Philadelphia County, PA",1976
1537,"Delaware County, PA",371
1538,"Philadelphia County, PA",582
1539,"Philadelphia County, PA",984
1540,"Lehigh County, PA",118
1541,"York County, PA",1035
1542,"Philadelphia County, PA",166
1543,"Lancaster County, PA",1716
1544,"Philadelphia County, PA",1997
1545,NA,661
1546,"Philadelphia County, PA",1279
1547,"Philadelphia County, PA",1849
1548,"Philadelphia County, PA",1715
1549,"Chester County, PA",1616
1550,"Philadelphia County, PA",652
1551,"McKean County, PA",1613
1552,"Mercer County, PA",1722
1553,"Westmoreland County, PA",2025
1554,"Philadelphia County, PA",375
1555,"Allegheny County, PA",701
1556,"Delaware County, PA",1847
1557,"Allegheny County, PA",1858
1558,"Philadelphia County, PA",1835
1559,"Northampton County, PA",692
1560,"Philadelphia County, PA",1828
1561,"Erie County, PA",1000
1562,"Bucks County, PA",1592
1563,"York County, PA",349
1564,NA,1590
1565,NA,672
1566,"Dauphin County, PA",1627
1567,"Philadelphia County, PA",1853
1568,"Allegheny County, PA",1566
1569,"Allegheny County, PA",1185
1570,"Indiana County, PA",300
1571,"Delaware County, PA",1933
1572,"Philadelphia County, PA",86
1573,"Luzerne County, PA",1411
1574,"Philadelphia County, PA",793
1575,"Philadelphia County, PA",2051
1576,"Philadelphia County, PA",459
1577,"Dauphin County, PA",1760
1578,"Lancaster County, PA",460
1579,NA,322
1580,"Delaware County, PA",897
1581,"Philadelphia County, PA",1795
1582,"Philadelphia County, PA",103
1583,"Philadelphia County, PA",267
1584,"Allegheny County, PA",421
1585,"Allegheny County, PA",756
1586,"Delaware County, PA",1809
1587,"Philadelphia County, PA",908
1588,"Philadelphia County, PA",929
1589,"Philadelphia County, PA",1372
1590,"Allegheny County, PA",468
1591,"Westmoreland County, PA",1537
1592,NA,764
1593,"Cumberland County, PA",107
1594,"Dauphin County, PA",1540
1595,"Berks County, PA",847
1596,"Lawrence County, PA",22
1597,"Allegheny County, PA",1922
1598,"York County, PA",820
1599,"Cambria County, PA",819
1600,"Cambria County, PA",1333
1601,"Tioga County, PA",818
1602,"Crawford County, PA",1907
1603,"Philadelphia County, PA",1926
1604,NA,745
1605,NA,550
1606,"Philadelphia County, PA",1422
1607,"Bucks County, PA",94
1608,"Lycoming County, PA",867
1609,"Westmoreland County, PA",95
1610,"Philadelphia County, PA",1545
1611,NA,1544
1612,"Philadelphia County, PA",193
1613,"Erie County, PA",944
1614,"Philadelphia County, PA",1784
1615,"Providence County, RI",206
1616,NA,629
1617,"Providence County, RI",507
1618,NA,1230
1619,"Providence County, RI",1182
1620,"Providence County, RI",1611
1621,"Providence County, RI",1987
1622,"Lexington County, SC",1909
1623,"Richland County, SC",1059
1624,"Charleston County, SC",1475
1625,"Richland County, SC",1902
1626,"Dorchester County, SC",584
1627,"Anderson County, SC",1301
1628,"Horry County, SC",552
1629,"Greenwood County, SC",1700
1630,"Horry County, SC",175
1631,"York County, SC",1581
1632,"Charleston County, SC",1049
1633,"Richland County, SC",1698
1634,"Charleston County, SC",1477
1635,"Horry County, SC",539
1636,"Chesterfield County, SC",1662
1637,"Aiken County, SC",93
1638,NA,1790
1639,"Greenwood County, SC",1910
1640,"Darlington County, SC",1745
1641,"Spartanburg County, SC",1053
1642,"Charleston County, SC",1908
1643,"Horry County, SC",638
1644,"Anderson County, SC",1162
1645,"Orangeburg County, SC",1746
1646,"Calhoun County, SC",1857
1647,"Aiken County, SC",327
1648,"Orangeburg County, SC",1
1649,NA,346
1650,"Greenwood County, SC",1211
1651,"Greenville County, SC",1995
1652,"Jasper County, SC",415
1653,"Chesterfield County, SC",1879
1654,"Anderson County, SC",1216
1655,"Barnwell County, SC",1006
1656,"Beaufort County, SC",770
1657,"Greenville County, SC",361
1658,"Chester County, SC",1183
1659,"Spartanburg County, SC",1142
1660,"Florence County, SC",313
1661,"Berkeley County, SC",2054
1662,"Beaufort County, SC",626
1663,"Dorchester County, SC",41
1664,"Richland County, SC",693
1665,"Georgetown County, SC",1867
1666,"York County, SC",1160
1667,"Minnehaha County, SD",566
1668,"Day County, SD",241
1669,"Brule County, SD",190
1670,NA,911
1671,"Lincoln County, SD",386
1672,"Rutherford County, TN",2042
1673,"Shelby County, TN",618
1674,"Hamilton County, TN",2048
1675,"Shelby County, TN",614
1676,"Shelby County, TN",613
1677,"Shelby County, TN",34
1678,"Hickman County, TN",1177
1679,"Sullivan County, TN",541
1680,"Rutherford County, TN",1761
1681,"Davidson County, TN",262
1682,"Shelby County, TN",1703
1683,"Knox County, TN",606
1684,"Knox County, TN",546
1685,"Shelby County, TN",1819
1686,"Shelby County, TN",150
1687,"Rutherford County, TN",1789
1688,"Shelby County, TN",152
1689,"Davidson County, TN",1440
1690,"Knox County, TN",1787
1691,"Lincoln County, TN",939
1692,"Davidson County, TN",759
1693,"Shelby County, TN",1364
1694,"Wayne County, TN",240
1695,"Madison County, TN",290
1696,"Shelby County, TN",751
1697,"Shelby County, TN",750
1698,"Giles County, TN",1002
1699,"Shelby County, TN",998
1700,"Gibson County, TN",1882
1701,"Shelby County, TN",1689
1702,"Roane County, TN",21
1703,"Davidson County, TN",182
1704,"Shelby County, TN",1971
1705,"Montgomery County, TN",482
1706,"Shelby County, TN",480
1707,NA,723
1708,"Haywood County, TN",186
1709,"Davidson County, TN",109
1710,"Jefferson County, TN",735
1711,"Davidson County, TN",1554
1712,"Rutherford County, TN",1341
1713,"Shelby County, TN",1550
1714,"Davidson County, TN",1549
1715,"Marion County, TN",1570
1716,"Stewart County, TN",760
1717,"Shelby County, TN",678
1718,"Shelby County, TN",1631
1719,"Hardin County, TN",651
1720,"Hamilton County, TN",641
1721,"Davidson County, TN",1267
1722,"Knox County, TN",1663
1723,"Davidson County, TN",1040
1724,"Davidson County, TN",1427
1725,"Hawkins County, TN",1483
1726,"Shelby County, TN",225
1727,"Shelby County, TN",506
1728,"Cheatham County, TN",1629
1729,"Knox County, TN",1656
1730,"Shelby County, TN",1991
1731,"Shelby County, TN",782
1732,"Davidson County, TN",218
1733,"Knox County, TN",1681
1734,"Maury County, TN",1684
1735,"Shelby County, TN",426
1736,"Madison County, TN",464
1737,"Knox County, TN",667
1738,"Shelby County, TN",1011
1739,"Shelby County, TN",202
1740,"Harris County, TX",1919
1741,"Harris County, TX",1881
1742,"Jasper County, TX",318
1743,"Guadalupe County, TX",409
1744,"Harris County, TX",1925
1745,"Uvalde County, TX",2052
1746,"Kaufman County, TX",24
1747,"Harris County, TX",526
1748,"Harris County, TX",20
1749,"Harris County, TX",528
1750,"Tarrant County, TX",2056
1751,"Harris County, TX",1955
1752,"Liberty County, TX",1906
1753,"Travis County, TX",473
1754,"Dallas County, TX",366
1755,"McLennan County, TX",401
1756,"Anderson County, TX",370
1757,"Tarrant County, TX",1834
1758,"Chambers County, TX",1837
1759,"Bexar County, TX",2020
1760,"Tarrant County, TX",1998
1761,"Brewster County, TX",351
1762,"Bexar County, TX",384
1763,"Harris County, TX",31
1764,"Harris County, TX",1823
1765,"Harris County, TX",516
1766,"Harris County, TX",499
1767,"Dallas County, TX",281
1768,"Cameron County, TX",517
1769,"Harris County, TX",1962
1770,"Harris County, TX",282
1771,"Rockwall County, TX",1990
1772,"Hidalgo County, TX",519
1773,"Tarrant County, TX",344
1774,"Bexar County, TX",385
1775,"Harris County, TX",2032
1776,"Dallas County, TX",1986
1777,"Limestone County, TX",2037
1778,"Angelina County, TX",33
1779,"Fort Bend County, TX",391
1780,"Dallas County, TX",1862
1781,"Wise County, TX",392
1782,"Bexar County, TX",393
1783,"Bexar County, TX",395
1784,"Bell County, TX",489
1785,"Dallas County, TX",394
1786,"Harris County, TX",1151
1787,"Travis County, TX",1423
1788,"Jefferson County, TX",1204
1789,"Harris County, TX",1118
1790,"Tarrant County, TX",89
1791,"Harris County, TX",1470
1792,NA,807
1793,NA,1111
1794,"Tarrant County, TX",1454
1795,"Dallas County, TX",821
1796,"Kaufman County, TX",834
1797,"Potter County, TX",1444
1798,"Bexar County, TX",839
1799,NA,1441
1800,NA,846
1801,"Galveston County, TX",850
1802,"Tarrant County, TX",858
1803,"Harris County, TX",796
1804,"Harris County, TX",82
1805,"Harris County, TX",788
1806,"Dallas County, TX",228
1807,"Harris County, TX",149
1808,"Bexar County, TX",721
1809,"Dallas County, TX",72
1810,"Galveston County, TX",234
1811,"El Paso County, TX",1556
1812,"Potter County, TX",1120
1813,"Dallas County, TX",1543
1814,"Dallas County, TX",1213
1815,"Lubbock County, TX",1536
1816,"Van Zandt County, TX",749
1817,"Andrews County, TX",231
1818,"Dallas County, TX",758
1819,"Fort Bend County, TX",765
1820,"Taylor County, TX",1201
1821,"Harris County, TX",1513
1822,"Harris County, TX",1511
1823,"Dallas County, TX",746
1824,"Ellis County, TX",859
1825,"Dallas County, TX",1425
1826,"Dallas County, TX",1086
1827,"Webb County, TX",1012
1828,"Harris County, TX",1346
1829,"Coleman County, TX",1343
1830,"Denton County, TX",191
1831,"Dallas County, TX",1336
1832,"Bell County, TX",1329
1833,"Dallas County, TX",961
1834,"Harris County, TX",1366
1835,NA,1287
1836,"Harris County, TX",1312
1837,"Harris County, TX",1307
1838,"Tarrant County, TX",1306
1839,"Harris County, TX",1288
1840,"Tarrant County, TX",1296
1841,"Harris County, TX",1292
1842,"Dallas County, TX",1290
1843,"Harris County, TX",1319
1844,"Brazoria County, TX",710
1845,"Tarrant County, TX",923
1846,"Dallas County, TX",1263
1847,"Travis County, TX",1227
1848,"Harris County, TX",863
1849,"Dallas County, TX",1079
1850,"Travis County, TX",1233
1851,"Houston County, TX",1060
1852,"Harris County, TX",1238
1853,"Tarrant County, TX",1410
1854,"Dallas County, TX",169
1855,"Denton County, TX",879
1856,"Bexar County, TX",1242
1857,"Gregg County, TX",1398
1858,"Dallas County, TX",1395
1859,"Travis County, TX",1046
1860,"El Paso County, TX",1255
1861,"Tarrant County, TX",1384
1862,"Galveston County, TX",906
1863,"Denton County, TX",1404
1864,"Dallas County, TX",1572
1865,"Harris County, TX",1517
1866,"Harris County, TX",1137
1867,"Jefferson County, TX",647
1868,"Hunt County, TX",642
1869,"Harris County, TX",133
1870,"Taylor County, TX",1666
1871,"Dallas County, TX",1170
1872,NA,633
1873,"Dallas County, TX",1165
1874,"Starr County, TX",631
1875,"Webb County, TX",630
1876,"Dallas County, TX",1184
1877,"Ellis County, TX",271
1878,"Dallas County, TX",625
1879,"Bell County, TX",1687
1880,"Tarrant County, TX",40
1881,"Dallas County, TX",1179
1882,"Tarrant County, TX",1709
1883,"Dallas County, TX",1166
1884,"Harris County, TX",1711
