,counties,index
213,"San Joaquin County, CA",1198
214,"Ventura County, CA",1187
215,NA,1178
216,"Alameda County, CA",1628
217,"Tulare County, CA",1658
218,"Los Angeles County, CA",1159
219,NA,1155
220,"San Bernardino County, CA",1675
221,"Los Angeles County, CA",1153
222,"Los Angeles County, CA",1152
223,"San Bernardino County, CA",1676
224,"Orange County, CA",1191
225,"Riverside County, CA",1311
226,"Contra Costa County, CA",1589
227,"Los Angeles County, CA",1318
228,"San Mateo County, CA",1481
229,"Los Angeles County, CA",1480
230,"Los Angeles County, CA",1490
231,"Los Angeles County, CA",1474
232,"Orange County, CA",1459
233,"Sonoma County, CA",1434
234,"Sonoma County, CA",1428
235,"Los Angeles County, CA",1491
236,"San Diego County, CA",1415
237,"Los Angeles County, CA",1499
238,"Los Angeles County, CA",1413
239,"Los Angeles County, CA",1501
240,"Los Angeles County, CA",1391
241,"Los Angeles County, CA",1505
242,"Los Angeles County, CA",1509
243,"Los Angeles County, CA",1518
244,"Los Angeles County, CA",1526
245,"Los Angeles County, CA",1378
246,"Los Angeles County, CA",1561
247,"Tuolumne County, CA",1583
248,"Los Angeles County, CA",1332
249,"San Francisco County, CA",1588
250,"Los Angeles County, CA",1328
251,"Los Angeles County, CA",1147
252,NA,909
253,"Los Angeles County, CA",1146
254,"Napa County, CA",1124
255,"Riverside County, CA",987
256,"Los Angeles County, CA",986
257,NA,983
258,"Alameda County, CA",1741
259,"Sacramento County, CA",980
260,"Fresno County, CA",1750
261,NA,970
262,"Los Angeles County, CA",969
263,"Santa Barbara County, CA",1758
264,"Alameda County, CA",959
265,"San Bernardino County, CA",988
266,"Los Angeles County, CA",958
267,"Alameda County, CA",1767
268,"Santa Clara County, CA",1770
269,"Los Angeles County, CA",1776
270,"San Mateo County, CA",949
271,"Los Angeles County, CA",945
272,"Los Angeles County, CA",943
273,"Los Angeles County, CA",1487
274,"Los Angeles County, CA",935
275,"Los Angeles County, CA",932
276,"Los Angeles County, CA",1791
277,"Sacramento County, CA",956
278,"Riverside County, CA",1738
279,"San Mateo County, CA",996
280,"Fresno County, CA",1723
281,"Los Angeles County, CA",1122
282,"Merced County, CA",1121
283,"Sacramento County, CA",1119
284,"San Bernardino County, CA",308
285,"San Diego County, CA",1683
286,"San Bernardino County, CA",1692
287,"Los Angeles County, CA",1101
288,"Los Angeles County, CA",1095
